"Player","#","Nation","Pos","Min","Gls","Ast","xG","xG-PK","xA","Sh","SoT","Fls","Fld","Crs","Tkl","Int","CrdY","CrdR","GA","Saves","Save%","Team","Time"
"Michael Keane",5,"ENG","DF",90,0,0,0,0,0,1,0,1,1,0,0,2,0,0,NA,NA,NA,"Everton","Sunday September 1, 2019"
"S¨¦amus Coleman",23,"IRL","DF,MF",90,0,0,0.1,0.1,0,1,0,0,1,3,1,0,0,0,NA,NA,NA,"Everton","Sunday September 1, 2019"
"Jordan Pickford",1,"ENG","GK",90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,60,"Everton","Sunday September 1, 2019"
"Patrick Cutrone",10,"ITA","FW",68,0,0,0.3,0.3,0,3,1,1,4,3,0,0,0,0,NA,NA,NA,"Wolverhampton Wanderers","Sunday September 1, 2019"
"Diogo Jota",18,"POR","MF",22,0,0,0,0,0,0,0,0,1,0,0,0,0,0,NA,NA,NA,"Wolverhampton Wanderers","Sunday September 1, 2019"
"Ra¨²l Jim¨¦nez",9,"MEX","FW",90,1,0,0.3,0.3,0,2,2,0,2,0,0,1,1,0,NA,NA,NA,"Wolverhampton Wanderers","Sunday September 1, 2019"
"R¨²ben Vinagre",29,"POR","DF",90,0,0,0,0,0.2,0,0,2,1,3,1,1,1,0,NA,NA,NA,"Wolverhampton Wanderers","Sunday September 1, 2019"
"Romain Sa<U+00EF>ss",27,"MAR","DF",59,1,0,0.6,0.6,0,2,2,1,0,0,0,2,0,0,NA,NA,NA,"Wolverhampton Wanderers","Sunday September 1, 2019"
"Jo<U+00E3>o Moutinho",28,"POR","MF",31,0,0,0,0,0,0,0,1,0,1,3,1,0,0,NA,NA,NA,"Wolverhampton Wanderers","Sunday September 1, 2019"
"R¨²ben Neves",8,"POR","MF",84,0,0,0,0,0,1,0,1,0,8,0,1,0,0,NA,NA,NA,"Wolverhampton Wanderers","Sunday September 1, 2019"
"Pedro Neto",7,"POR","FW",6,0,0,0,0,0,0,0,1,0,0,0,0,1,0,NA,NA,NA,"Wolverhampton Wanderers","Sunday September 1, 2019"
"Leander Dendoncker",32,"BEL","MF",90,0,0,0,0,0,0,0,0,0,0,1,2,0,0,NA,NA,NA,"Wolverhampton Wanderers","Sunday September 1, 2019"
"Adama Traor¨¦",37,"ESP","FW,MF",90,0,0,0,0,0,0,0,0,3,1,0,2,0,0,NA,NA,NA,"Wolverhampton Wanderers","Sunday September 1, 2019"
"Willy Boly",15,"FRA","DF",89,0,1,0,0,0.3,0,0,4,1,0,0,3,2,1,NA,NA,NA,"Wolverhampton Wanderers","Sunday September 1, 2019"
"Conor Coady",16,"ENG","DF,MF",90,0,0,0,0,0,0,0,0,0,0,2,0,0,0,NA,NA,NA,"Wolverhampton Wanderers","Sunday September 1, 2019"
"Ryan Bennett",5,"ENG","DF",90,0,0,0,0,0,0,0,1,0,1,1,1,1,0,NA,NA,NA,"Wolverhampton Wanderers","Sunday September 1, 2019"
"Rui Patr¨ªcio",11,"POR","GK",90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,50,"Wolverhampton Wanderers","Sunday September 1, 2019"
"Pierre-Emerick Aubameyang",14,"GAB","FW,MF",90,1,0,0.7,0.7,0.3,4,1,0,1,5,0,1,0,0,NA,NA,NA,"Arsenal","Sunday September 1, 2019"
"Alexandre Lacazette",9,"FRA","FW",67,1,0,0.5,0.5,0,6,3,2,2,0,0,0,1,0,NA,NA,NA,"Arsenal","Sunday September 1, 2019"
"Henrikh Mkhitaryan",7,"ARM","FW,MF",23,0,0,0.1,0.1,0.1,1,0,1,0,0,0,0,0,0,NA,NA,NA,"Arsenal","Sunday September 1, 2019"
"Nicolas P¨¦p¨¦",19,"CIV","FW",90,0,1,0.6,0.6,0.3,7,1,1,0,8,1,0,0,0,NA,NA,NA,"Arsenal","Sunday September 1, 2019"
"Matt¨¦o Guendouzi",29,"FRA","MF",90,0,1,0.1,0.1,0.5,2,1,2,2,0,2,2,0,0,NA,NA,NA,"Arsenal","Sunday September 1, 2019"
"Granit Xhaka",34,"SUI","MF",90,0,0,0,0,0.1,1,1,7,3,0,0,2,1,0,NA,NA,NA,"Arsenal","Sunday September 1, 2019"
"Lucas Torreira",11,"URU","MF",63,0,0,0,0,0.2,1,0,0,4,2,3,1,0,0,NA,NA,NA,"Arsenal","Sunday September 1, 2019"
"Dani Ceballos",8,"ESP","MF",27,0,0,0,0,0,2,1,0,5,4,0,0,0,0,NA,NA,NA,"Arsenal","Sunday September 1, 2019"
"Sead Kola<U+0161>inac",31,"BIH","DF,MF",90,0,0,0.5,0.5,0.1,1,0,0,0,3,1,0,0,0,NA,NA,NA,"Arsenal","Sunday September 1, 2019"
"David Luiz",23,"BRA","DF,MF",90,0,0,0,0,0,0,0,0,0,0,2,1,0,0,NA,NA,NA,"Arsenal","Sunday September 1, 2019"
"Sokratis Papastathopoulos",5,"GRE","DF",90,0,0,0,0,0,0,0,0,1,0,3,0,1,0,NA,NA,NA,"Arsenal","Sunday September 1, 2019"
"Ainsley Maitland-Niles",15,"ENG","FW,MF",90,0,0,0,0,0.1,1,0,0,0,3,0,3,0,0,NA,NA,NA,"Arsenal","Sunday September 1, 2019"
"Bernd Leno",1,"GER","GK",90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,77.8,"Arsenal","Sunday September 1, 2019"
"Harry Kane",10,"ENG","FW",90,1,0,0.9,0.1,0.1,3,2,4,3,0,0,0,0,0,NA,NA,NA,"Tottenham Hotspur","Sunday September 1, 2019"
"Christian Eriksen",23,"DEN","DF,MF",90,1,0,0.9,0.9,0.2,4,4,1,1,6,0,1,1,0,NA,NA,NA,"Tottenham Hotspur","Sunday September 1, 2019"
"Son Heung-min",7,"KOR","FW,MF",79,0,0,0.1,0.1,0.3,2,2,1,2,1,0,0,0,0,NA,NA,NA,"Tottenham Hotspur","Sunday September 1, 2019"
"Giovani Lo Celso",18,"ARG","MF",11,0,0,0,0,0,0,0,1,1,0,0,0,0,0,NA,NA,NA,"Tottenham Hotspur","Sunday September 1, 2019"
"¨¦rik Lamela",11,"ARG","FW,MF",60,0,0,0.2,0.2,0.1,1,1,1,1,2,0,0,1,0,NA,NA,NA,"Tottenham Hotspur","Sunday September 1, 2019"
"Dele Alli",20,"ENG","MF",30,0,0,0,0,0,0,0,0,1,0,0,0,0,0,NA,NA,NA,"Tottenham Hotspur","Sunday September 1, 2019"
"Harry Winks",8,"ENG","MF",90,0,0,0,0,0,0,0,3,1,1,2,1,1,0,NA,NA,NA,"Tottenham Hotspur","Sunday September 1, 2019"
"Moussa Sissoko",17,"FRA","MF",90,0,0,0.1,0.1,0,2,0,3,1,0,1,1,0,0,NA,NA,NA,"Tottenham Hotspur","Sunday September 1, 2019"
"Danny Rose",3,"ENG","DF,MF",90,0,0,0,0,0,1,0,2,1,1,1,1,1,0,NA,NA,NA,"Tottenham Hotspur","Sunday September 1, 2019"
"Jan Vertonghen",5,"BEL","DF",90,0,0,0,0,0,0,0,0,0,0,0,1,0,0,NA,NA,NA,"Tottenham Hotspur","Sunday September 1, 2019"
"Toby Alderweireld",4,"BEL","DF",90,0,0,0,0,0,0,0,1,0,0,1,0,0,0,NA,NA,NA,"Tottenham Hotspur","Sunday September 1, 2019"
"Davinson S¨¢nchez",6,"COL","DF",90,0,0,0,0,0,0,0,2,1,0,1,0,1,0,NA,NA,NA,"Tottenham Hotspur","Sunday September 1, 2019"
"Hugo Lloris",1,"FRA","GK",90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,75,"Tottenham Hotspur","Sunday September 1, 2019"
"Divock Origi",27,"BEL","FW,MF",37,0,0,0.1,0.1,0,1,0,0,0,3,1,0,0,0,NA,NA,NA,"Liverpool","Saturday September 14, 2019"
"Roberto Firmino",9,"BRA","FW,MF",53,0,1,0.1,0.1,0.9,2,1,0,0,0,1,0,0,0,NA,NA,NA,"Liverpool","Saturday September 14, 2019"
"Sadio Man¨¦",10,"SEN","FW,MF",90,2,0,1,1,0.1,4,2,2,1,3,0,1,0,0,NA,NA,NA,"Liverpool","Saturday September 14, 2019"
"Mohamed Salah",11,"EGY","FW,MF",90,1,0,0.4,0.4,0,3,1,1,0,5,2,0,0,0,NA,NA,NA,"Liverpool","Saturday September 14, 2019"
"Georginio Wijnaldum",5,"NED","MF",84,0,0,0.1,0.1,0,2,1,0,0,0,2,0,0,0,NA,NA,NA,"Liverpool","Saturday September 14, 2019"
"Xherdan Shaqiri",23,"SUI","MF",6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,"Liverpool","Saturday September 14, 2019"
"Fabinho",3,"BRA","DF",90,0,0,0,0,0,0,0,0,0,0,0,2,0,0,NA,NA,NA,"Liverpool","Saturday September 14, 2019"
"Alex Oxlade-Chamberlain",15,"ENG","MF",75,0,0,0.1,0.1,0,2,0,1,0,3,1,0,0,0,NA,NA,NA,"Liverpool","Saturday September 14, 2019"
"James Milner",7,"ENG","MF",15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,"Liverpool","Saturday September 14, 2019"
"Andrew Robertson",26,"SCO","DF",90,0,1,0.3,0.3,0.1,1,1,0,2,5,0,2,0,0,NA,NA,NA,"Liverpool","Saturday September 14, 2019"
"Virgil van Dijk",4,"NED","DF",90,0,0,0,0,0,3,1,0,0,0,1,1,0,0,NA,NA,NA,"Liverpool","Saturday September 14, 2019"
"Jo<U+00EB>l Matip",32,"CMR","DF,MF",90,0,0,0,0,0,1,0,1,1,1,3,2,0,0,NA,NA,NA,"Liverpool","Saturday September 14, 2019"
"Trent Alexander-Arnold",66,"ENG","DF,MF",90,0,0,0.6,0.6,0.2,2,2,0,0,16,0,1,0,0,NA,NA,NA,"Liverpool","Saturday September 14, 2019"
"Adri¨¢n",13,"ESP","GK",90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"Liverpool","Saturday September 14, 2019"
"Joelinton",9,"BRA","FW",90,0,0,0.1,0.1,0.1,1,0,0,0,0,0,1,0,0,NA,NA,NA,"Newcastle United","Saturday September 14, 2019"
"Christian Atsu",30,"GHA","FW,MF",90,0,1,0,0,0.2,0,0,1,0,2,2,1,0,0,NA,NA,NA,"Newcastle United","Saturday September 14, 2019"
"Jonjo Shelvey",8,"ENG","MF",90,0,0,0.1,0.1,0,2,0,0,1,1,0,1,0,0,NA,NA,NA,"Newcastle United","Saturday September 14, 2019"
"Isaac Hayden",14,"ENG","DF",90,0,0,0,0,0,1,0,1,2,0,3,3,0,0,NA,NA,NA,"Newcastle United","Saturday September 14, 2019"
"Miguel Almir¨®n",24,"PAR","MF",67,0,0,0,0,0,0,0,0,0,1,2,1,0,0,NA,NA,NA,"Newcastle United","Saturday September 14, 2019"
"Yoshinori Mut¨­",13,"JPN","MF",23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,"Newcastle United","Saturday September 14, 2019"
"Jetro Willems",15,"NED","DF",90,1,0,0.1,0.1,0,1,1,0,0,0,1,0,0,0,NA,NA,NA,"Newcastle United","Saturday September 14, 2019"
"Paul Dummett",3,"WAL","DF",90,0,0,0,0,0,0,0,0,2,0,1,0,0,0,NA,NA,NA,"Newcastle United","Saturday September 14, 2019"
"Jamaal Lascelles",6,"ENG","DF",90,0,0,0,0,0,0,0,0,0,0,0,1,0,0,NA,NA,NA,"Newcastle United","Saturday September 14, 2019"
"Fabian Sch<U+00E4>r",5,"SUI","DF",80,0,0,0,0,0,1,0,0,0,0,0,1,0,0,NA,NA,NA,"Newcastle United","Saturday September 14, 2019"
"Federico Fern¨¢ndez",18,"ARG","DF",10,0,0,0,0,0,0,0,0,0,0,0,1,0,0,NA,NA,NA,"Newcastle United","Saturday September 14, 2019"
"Emil Krafth",17,"SWE","DF",67,0,0,0.2,0.2,0,2,0,1,0,1,1,1,0,0,NA,NA,NA,"Newcastle United","Saturday September 14, 2019"
"Javier Manquillo",19,"ESP","DF",23,0,0,0,0,0,0,0,1,0,0,1,0,0,0,NA,NA,NA,"Newcastle United","Saturday September 14, 2019"
"Martin D¨²bravka",1,"SVK","GK",90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,62.5,"Newcastle United","Saturday September 14, 2019"
"Neal Maupay",7,"FRA","FW,MF",84,1,0,0.2,0.2,0,2,2,2,1,0,0,0,0,0,NA,NA,NA,"Brighton & Hove Albion","Saturday September 14, 2019"
"Aaron Connolly",44,"IRL","FW",6,0,0,0.1,0.1,0,2,1,0,0,0,0,0,0,0,NA,NA,NA,"Brighton & Hove Albion","Saturday September 14, 2019"
"Glenn Murray",17,"ENG","FW",80,0,0,0.2,0.2,0.1,3,1,3,2,1,0,0,0,0,NA,NA,NA,"Brighton & Hove Albion","Saturday September 14, 2019"
"Aaron Mooy",18,"AUS","MF",10,0,0,0,0,0,0,0,0,0,1,0,0,0,0,NA,NA,NA,"Brighton & Hove Albion","Saturday September 14, 2019"
"Pascal Gro<U+00DF>",13,"GER","MF",90,0,0,0.1,0.1,0.4,2,0,0,0,5,1,0,0,0,NA,NA,NA,"Brighton & Hove Albion","Saturday September 14, 2019"
"Dan Burn",33,"ENG","DF",90,0,0,0,0,0,0,0,1,2,2,1,1,0,0,NA,NA,NA,"Brighton & Hove Albion","Saturday September 14, 2019"
"Davy Pr<U+00F6>pper",24,"NED","MF",90,0,0,0.2,0.2,0,3,0,2,0,1,4,0,0,0,NA,NA,NA,"Brighton & Hove Albion","Saturday September 14, 2019"
"Dale Stephens",6,"ENG","MF",90,0,0,0,0,0,1,0,1,0,0,3,2,0,0,NA,NA,NA,"Brighton & Hove Albion","Saturday September 14, 2019"
"Solly March",20,"ENG","MF",90,0,1,0.1,0.1,0.3,1,1,2,0,2,2,2,0,0,NA,NA,NA,"Brighton & Hove Albion","Saturday September 14, 2019"
"Ga<U+00EB>tan Bong",3,"CMR","DF",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,"Brighton & Hove Albion","Saturday September 14, 2019"
"Adam Webster",15,"ENG","DF",90,0,0,0,0,0,0,0,1,0,3,2,1,0,0,NA,NA,NA,"Brighton & Hove Albion","Saturday September 14, 2019"
"Lewis Dunk",5,"ENG","DF",90,0,0,0,0,0,0,0,0,1,0,1,2,0,0,NA,NA,NA,"Brighton & Hove Albion","Saturday September 14, 2019"
"Shane Duffy",4,"IRL","DF,MF",90,0,0,0,0,0,0,0,1,1,0,0,3,0,0,NA,NA,NA,"Brighton & Hove Albion","Saturday September 14, 2019"
"Mathew Ryan",1,"AUS","GK",90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"Brighton & Hove Albion","Saturday September 14, 2019"
"Chris Wood",9,"NZL","FW",66,0,0,0.4,0.4,0,1,0,0,0,0,0,0,0,0,NA,NA,NA,"Burnley","Saturday September 14, 2019"
"Jay Rodriguez",19,"ENG","FW",24,0,0,0,0,0,0,0,1,0,0,0,0,0,0,NA,NA,NA,"Burnley","Saturday September 14, 2019"
"Ashley Barnes",10,"AUT","FW",90,0,0,0,0,0,1,0,1,4,1,0,0,0,0,NA,NA,NA,"Burnley","Saturday September 14, 2019"
"Dwight McNeil",11,"ENG","MF",90,0,0,0,0,0,1,0,0,0,6,1,1,0,0,NA,NA,NA,"Burnley","Saturday September 14, 2019"
"Jack Cork",4,"ENG","DF,MF",78,0,0,0.1,0.1,0,1,0,0,0,0,3,0,0,0,NA,NA,NA,"Burnley","Saturday September 14, 2019"
"Mat¨§j Vydra",27,"CZE","FW",12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,"Burnley","Saturday September 14, 2019"
"Ashley Westwood",18,"ENG","MF",90,0,0,0.1,0.1,0,1,0,2,3,5,1,0,1,0,NA,NA,NA,"Burnley","Saturday September 14, 2019"
"Aaron Lennon",25,"ENG","FW,MF",59,0,0,0,0,0,1,0,1,0,1,1,1,1,0,NA,NA,NA,"Burnley","Saturday September 14, 2019"
"Jeff Hendrick",13,"IRL","MF",31,1,0,0,0,0,1,1,0,0,0,0,2,0,0,NA,NA,NA,"Burnley","Saturday September 14, 2019"
"Erik Pieters",23,"NED","DF",90,0,0,0,0,0,0,0,0,3,2,4,1,0,0,NA,NA,NA,"Burnley","Saturday September 14, 2019"
"Ben Mee",6,"ENG","DF",90,0,0,0,0,0,0,0,0,1,0,0,1,0,0,NA,NA,NA,"Burnley","Saturday September 14, 2019"
"James Tarkowski",5,"ENG","DF",90,0,0,0,0,0.1,0,0,1,0,1,0,0,0,0,NA,NA,NA,"Burnley","Saturday September 14, 2019"
"Matthew Lowton",2,"ENG","DF",90,0,0,0,0,0,0,0,1,1,3,4,2,0,0,NA,NA,NA,"Burnley","Saturday September 14, 2019"
"Nick Pope",1,"ENG","GK",90,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,4,80,"Burnley","Saturday September 14, 2019"
"Oliver McBurnie",9,"SCO","FW",65,0,0,0,0,0.4,0,0,2,0,1,2,0,0,0,NA,NA,NA,"Sheffield United","Saturday September 14, 2019"
"Billy Sharp",10,"ENG","FW",19,0,0,0,0,0.7,0,0,2,0,0,0,0,0,1,NA,NA,NA,"Sheffield United","Saturday September 14, 2019"
"David McGoldrick",17,"IRL","FW",90,0,0,1.1,1.1,0,6,3,1,1,1,1,0,0,0,NA,NA,NA,"Sheffield United","Saturday September 14, 2019"
"Enda Stevens",3,"IRL","DF",90,0,0,0,0,0.1,1,0,0,0,4,0,0,0,0,NA,NA,NA,"Sheffield United","Saturday September 14, 2019"
"John Fleck",4,"SCO","FW,MF",90,0,0,0.3,0.3,0.2,5,1,0,0,9,1,0,1,0,NA,NA,NA,"Sheffield United","Saturday September 14, 2019"
"Oliver Norwood",16,"NIR","MF",90,0,0,0,0,0.5,0,0,0,2,8,2,2,0,0,NA,NA,NA,"Sheffield United","Saturday September 14, 2019"
"John Lundstram",7,"ENG","MF",72,0,0,0,0,0.1,0,0,0,0,3,0,0,0,0,NA,NA,NA,"Sheffield United","Saturday September 14, 2019"
"Lys Mousset",22,"FRA","MF",18,0,0,0.1,0.1,0,2,0,0,0,0,0,0,0,0,NA,NA,NA,"Sheffield United","Saturday September 14, 2019"
"George Baldock",2,"ENG","DF,MF",90,0,0,0,0,0.1,0,0,2,2,2,3,2,0,0,NA,NA,NA,"Sheffield United","Saturday September 14, 2019"
"Jack O'Connell",5,"ENG","DF",90,0,0,0.1,0.1,0,1,0,1,1,1,0,1,0,0,NA,NA,NA,"Sheffield United","Saturday September 14, 2019"
"John Egan",12,"IRL","DF",90,0,0,0,0,0,0,0,1,0,2,0,4,0,0,NA,NA,NA,"Sheffield United","Saturday September 14, 2019"
"Chris Basham",6,"ENG","DF,MF",84,0,0,0.4,0.4,0,1,0,1,0,2,2,1,0,0,NA,NA,NA,"Sheffield United","Saturday September 14, 2019"
"Callum Robinson",11,"IRL","FW",6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,"Sheffield United","Saturday September 14, 2019"
"Dean Henderson",1,"ENG","GK",90,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,6,85.7,"Sheffield United","Saturday September 14, 2019"
"Che Adams",10,"ENG","FW",90,0,0,0.3,0.3,0,4,2,2,0,2,0,0,0,0,NA,NA,NA,"Southampton","Saturday September 14, 2019"
"Shane Long",7,"IRL","FW",NA,0,0,0,0,0,0,0,1,0,0,0,0,0,0,NA,NA,NA,"Southampton","Saturday September 14, 2019"
"Sofiane Boufal",19,"MAR","MF",85,0,1,0.2,0.2,0.1,2,1,1,2,3,0,0,0,0,NA,NA,NA,"Southampton","Saturday September 14, 2019"
"Stuart Armstrong",17,"SCO","MF",5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,NA,NA,NA,"Southampton","Saturday September 14, 2019"
"James Ward-Prowse",16,"ENG","MF",90,0,0,0,0,0.2,0,0,0,1,9,0,1,0,0,NA,NA,NA,"Southampton","Saturday September 14, 2019"
"Moussa Djenepo",12,"MLI","MF",74,1,0,0.4,0.4,0.2,2,2,1,2,1,2,1,0,0,NA,NA,NA,"Southampton","Saturday September 14, 2019"
"Danny Ings",9,"ENG","FW",16,0,0,0,0,0,0,0,0,0,1,0,0,0,0,NA,NA,NA,"Southampton","Saturday September 14, 2019"
"Pierre H<U+00F8>jbjerg",23,"DEN","MF",90,0,0,0,0,0.1,0,0,1,2,2,1,2,0,0,NA,NA,NA,"Southampton","Saturday September 14, 2019"
"Oriol Romeu",14,"ESP","MF",90,0,0,0,0,0,0,0,0,0,1,2,0,0,0,NA,NA,NA,"Southampton","Saturday September 14, 2019"
"C¨¦dric Soares",2,"POR","DF",90,0,0,0.3,0.3,0,1,0,0,0,0,3,2,0,0,NA,NA,NA,"Southampton","Saturday September 14, 2019"
"Jannik Vestergaard",4,"DEN","DF",90,0,0,0.1,0.1,0,2,2,1,1,0,1,1,1,0,NA,NA,NA,"Southampton","Saturday September 14, 2019"
"Maya Yoshida",3,"JPN","DF",90,0,0,0,0,0,0,0,0,1,0,0,1,0,0,NA,NA,NA,"Southampton","Saturday September 14, 2019"
"Jan Bednarek",35,"POL","DF",90,0,0,0,0,0,0,0,0,0,0,0,1,0,0,NA,NA,NA,"Southampton","Saturday September 14, 2019"
"Angus Gunn",28,"ENG","GK",90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,100,"Southampton","Saturday September 14, 2019"
"Diogo Jota",18,"POR","MF",90,0,0,0,0,0.8,1,0,0,4,1,0,1,0,0,NA,NA,NA,"Wolverhampton Wanderers","Saturday September 14, 2019"
"Ra¨²l Jim¨¦nez",9,"MEX","FW",70,0,0,0.1,0.1,0,2,0,0,1,2,0,1,0,0,NA,NA,NA,"Wolverhampton Wanderers","Saturday September 14, 2019"
"Morgan Gibbs-White",17,"ENG","MF",20,0,0,0,0,0.1,0,0,0,0,1,0,0,0,0,NA,NA,NA,"Wolverhampton Wanderers","Saturday September 14, 2019"
"Jonny Castro",19,"ESP","DF",90,0,0,0,0,0,1,1,1,1,2,2,1,0,0,NA,NA,NA,"Wolverhampton Wanderers","Saturday September 14, 2019"
"Jo<U+00E3>o Moutinho",28,"POR","MF",90,0,0,0,0,0.3,0,0,2,0,10,5,3,0,0,NA,NA,NA,"Wolverhampton Wanderers","Saturday September 14, 2019"
"R¨²ben Neves",8,"POR","MF",90,0,0,0,0,0,2,0,0,0,0,0,4,0,0,NA,NA,NA,"Wolverhampton Wanderers","Saturday September 14, 2019"
"Leander Dendoncker",32,"BEL","MF",45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,"Wolverhampton Wanderers","Saturday September 14, 2019"
"Patrick Cutrone",10,"ITA","FW",45,1,0,1.3,1.3,0,3,1,0,1,0,1,1,0,0,NA,NA,NA,"Wolverhampton Wanderers","Saturday September 14, 2019"
"Adama Traor¨¦",37,"ESP","FW,MF",56,0,0,0,0,0.1,0,0,1,1,4,0,2,0,0,NA,NA,NA,"Wolverhampton Wanderers","Saturday September 14, 2019"
"Matt Doherty",2,"IRL","DF",34,0,0,0.1,0.1,0,1,1,0,0,1,0,0,0,0,NA,NA,NA,"Wolverhampton Wanderers","Saturday September 14, 2019"
"Romain Sa<U+00EF>ss",27,"MAR","DF",90,0,0,0.1,0.1,0,1,1,3,2,2,1,0,1,0,NA,NA,NA,"Wolverhampton Wanderers","Saturday September 14, 2019"
"Conor Coady",16,"ENG","DF,MF",90,0,0,0,0,0,0,0,0,0,0,1,0,0,0,NA,NA,NA,"Wolverhampton Wanderers","Saturday September 14, 2019"
"Jes¨²s Vallejo",4,"ESP","DF",90,0,0,0,0,0,0,0,1,0,0,0,1,0,0,NA,NA,NA,"Wolverhampton Wanderers","Saturday September 14, 2019"
"Rui Patr¨ªcio",11,"POR","GK",90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,16.7,"Wolverhampton Wanderers","Saturday September 14, 2019"
"Tammy Abraham",9,"ENG","FW",77,3,0,0.5,0.5,0,4,3,3,1,0,0,0,1,0,NA,NA,NA,"Chelsea","Saturday September 14, 2019"
"Michy Batshuayi",23,"BEL","FW",13,0,1,0.7,0.7,0.1,4,1,0,0,0,0,0,0,0,NA,NA,NA,"Chelsea","Saturday September 14, 2019"
"Mason Mount",19,"ENG","MF",90,1,0,0.5,0.5,0.2,2,1,0,0,7,1,1,0,0,NA,NA,NA,"Chelsea","Saturday September 14, 2019"
"Willian",10,"BRA","MF",90,0,0,0,0,0,1,0,2,4,2,2,1,0,0,NA,NA,NA,"Chelsea","Saturday September 14, 2019"
"Marcos Alonso",3,"ESP","DF",90,0,1,0,0,0.1,1,0,2,2,1,3,0,0,0,NA,NA,NA,"Chelsea","Saturday September 14, 2019"
"Mateo Kova<U+010D>i<U+0107>",17,"CRO","MF",70,0,0,0,0,0,0,0,0,0,0,1,0,0,0,NA,NA,NA,"Chelsea","Saturday September 14, 2019"
"Ross Barkley",8,"ENG","MF",20,0,0,0,0,0.5,0,0,0,1,0,0,1,0,0,NA,NA,NA,"Chelsea","Saturday September 14, 2019"
"Jorginho",5,"ITA","MF",90,0,1,0,0,0.5,0,0,2,0,1,2,2,0,0,NA,NA,NA,"Chelsea","Saturday September 14, 2019"
"C¨¦sar Azpilicueta",28,"ESP","DF",90,0,0,0,0,0,0,0,0,0,2,1,1,0,0,NA,NA,NA,"Chelsea","Saturday September 14, 2019"
"Fikayo Tomori",29,"ENG","DF",90,1,0,0,0,0,1,1,0,0,0,2,7,0,0,NA,NA,NA,"Chelsea","Saturday September 14, 2019"
"Andreas Christensen",4,"DEN","DF",90,0,0,0,0,0,0,0,1,0,0,1,2,1,0,NA,NA,NA,"Chelsea","Saturday September 14, 2019"
"Antonio R¨¹diger",2,"GER","DF",45,0,0,0,0,0,1,0,0,0,0,1,0,0,0,NA,NA,NA,"Chelsea","Saturday September 14, 2019"
"Kurt Zouma",15,"FRA","DF",45,0,0,0,0,0,1,0,1,0,0,0,1,0,0,NA,NA,NA,"Chelsea","Saturday September 14, 2019"
"Kepa Arrizabalaga",1,"ESP","GK",90,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,3,60,"Chelsea","Saturday September 14, 2019"
"Marcus Rashford",10,"ENG","FW",90,1,0,0.8,0,0,2,1,1,3,0,0,0,0,0,NA,NA,NA,"Manchester United","Saturday September 14, 2019"
"Daniel James",21,"WAL","MF",90,0,0,0.1,0.1,0,2,0,1,1,4,0,0,1,0,NA,NA,NA,"Manchester United","Saturday September 14, 2019"
"Axel Tuanzebe",38,"ENG","DF",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,"Manchester United","Saturday September 14, 2019"
"Juan Mata",8,"ESP","FW,MF",70,0,0,0,0,0,1,1,0,0,0,1,0,0,0,NA,NA,NA,"Manchester United","Saturday September 14, 2019"
"Tahith Chong",44,"NED","",20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,"Manchester United","Saturday September 14, 2019"
"Andreas Pereira",15,"BRA","MF",90,0,0,0.1,0.1,0.1,3,2,3,3,0,0,1,0,0,NA,NA,NA,"Manchester United","Saturday September 14, 2019"
"Nemanja Mati<U+0107>",31,"SRB","MF",67,0,0,0,0,0,0,0,1,0,0,1,0,0,0,NA,NA,NA,"Manchester United","Saturday September 14, 2019"
"Fred",17,"BRA","FW,MF",23,0,0,0,0,0,0,0,0,0,0,1,1,0,0,NA,NA,NA,"Manchester United","Saturday September 14, 2019"
"Scott McTominay",39,"SCO","MF",90,0,0,0,0,0,0,0,4,3,0,2,2,0,0,NA,NA,NA,"Manchester United","Saturday September 14, 2019"
"Ashley Young",18,"ENG","DF,FW,MF",90,0,0,0,0,0,0,0,2,1,4,2,2,0,0,NA,NA,NA,"Manchester United","Saturday September 14, 2019"
